rank,stadium,capacity,region,country,city,images,home_team
159,Cape,"55,000",Africa,South,Cape,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/150px-Cape_Town_Stadium_Inside.jpg,Cape
160,Plovdiv,"55,000",Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/150px-Plovdiv_Stadium.JPG,Text esta vazio
161,Bobby,"55,000",North,United,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/150px-BDS2013.jpg,Georgia
162,Johan,"54,990",Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/150px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,AFC
163,Tianhe,"54,856",East,China,"Guangzhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/150px-Tianhe_Stadium.jpg,Text esta vazio
164,Stadio,"54,726",Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/150px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,SSC
165,Tianjin,"54,696",East,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/150px-Tianjin_Olympic_Center_Stadium.jpg,Tianjin
166,MERKUR,"54,600",Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/150px-LTU_arena_panorama.jpg,Fortuna
167,Boris,"54,549",West,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/150px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,Georgia
168,Wuhan,"54,357",East,China,"Wuhan,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/150px-Wuhan_Sport_Centre_01.jpg,Text esta vazio
169,BC,"54,320",North,Canada,"Vancouver,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/150px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,Vancouver
170,Yankee,"54,251",North,United,New,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/150px-YankeeStadium-9-21-22-1.jpg,New
171,Hrazdan,"54,208",West,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/150px-HrazdanArmeniaTurkey.JPG,FC
172,BORUSSIA-PARK,"54,057",Europe,Germany,Mönchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/150px-Borussia-Park_DEU-FRA_2011.jpg,Borussia
173,Moses,"54,000",Africa,South,"Durban,",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/150px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,AmaZulu
174,Busan,"53,864",East,South,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/150px-BusanAsiadStadium.jpg,Busan
175,Estádio,"53,645",South,Brazil,"Belém,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Mangueir%C3%A3o_em_2023.jpg/150px-Mangueir%C3%A3o_em_2023.jpg,Paysandu
176,Estadio,"53,600",South,Argentina,La,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/150px-EstadioUnicoLaPlata_Interior_June2014.jpg,Text esta vazio
177,Adelaide,"53,500",Oceania,Australia,"Adelaide,",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/150px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,Adelaide
178,Docklands,"53,359",Oceania,Australia,"Melbourne,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/150px-Melbourne_Derby_December_2014.jpg,Western
179,Estádio,"53,350",South,Brazil,"Uberlândia,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/150px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia
180,San,"53,332",Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/150px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Athletic
181,Aleppo,"53,200",West,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/150px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad
182,Estadio,"53,086",South,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/150px-Estadio_Nacional_nuevo_07_10_2011.jpg,Peru
183,Huanglong,"52,672",East,China,"Hangzhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/150px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou
184,RAMS,"52,652",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/150px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
185,Suncorp,"52,500",Oceania,Australia,"Brisbane,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/150px-Suncorpstadium071006a.JPG,Brisbane
186,St.,"52,405",Europe,England,Newcastle,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/150px-StJamesParkPanorama.jpg,Newcastle
187,Kings,"52,000",Africa,South,"Durban,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/150px-Kings_Park_panorama.jpg,Lamontville
188,Newlands,"51,900",Africa,South,Cape,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/150px-Proudly_South_African.jpg,Text esta vazio
189,Hampden,"51,866",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/150px-Hampden_Park%2C_January_2023.jpg,Scotland
190,Estadio,"51,796",South,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/150px-Monumental_de_maturin_3.jpg,Monagas
191,Loftus,"51,762",Africa,South,"Pretoria,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/150px-Loftus_Versfeld_Game_Night.JPG,SuperSport
192,Aviva,"51,700",Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/150px-Aviva_Stadium_Panoramic.jpg,Leinster
193,Guiyang,"51,638",East,China,"Guiyang,",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/150px-Guiyang_Olympic_Sports_Center.jpg,Text esta vazio
194,Hohhot,"51,632",East,China,"Hohhot,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/150px-Hohhot_City_Stadium.jpg,Text esta vazio
195,Rajamangala,"51,552",Southeast,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/150px-Rajamangala_Stadium_Panorama.jpg,Thailand
196,Donbass,"51,504",Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/150px-Donbass_Arena.jpg,Text esta vazio
197,Estadio,"51,389",South,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panoramica_Cilindro.jpg/150px-Panoramica_Cilindro.jpg,Racing
198,İzmir,"51,295",West,Turkey,İzmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/150px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,Altay
199,Stadion,"51,117",Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/150px-Rotterdam_De_Kuip_1.jpg,Feyenoord
200,Estadio,"51,000",North,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/150px-Estadio_BBVA.jpg,CF
201,Ghadir,"51,000",West,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/150px-Al-Ghadeer_Stadium.jpg,Foolad
202,Estádio,"50,942",South,Brazil,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/150px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC
203,Ibrox,"50,817",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/150px-Rangers-SM_%281%29.jpg,Rangers
204,Shizuoka,"50,889",East,Japan,"Fukuroi,",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/150px-Ecopa030304.jpg,Júbilo
205,Ernst-Happel-Stadion,"50,865",Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/150px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria
206,Huntington,"50,805",North,United,Minneapolis,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MNUFCTCF.jpeg/150px-MNUFCTCF.jpeg,Minnesota
207,Estadio,"50,754",North,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/150px-Rampa_norte.jpg,Puebla
208,Strawberry,"50,653",Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/150px-FriendsArena_SwedenSpain.jpg,Sweden
209,Ülker,"50,509",West,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/150px-Sukrusaracoglu.jpg,Fenerbahçe
210,Stanford,"50,424",North,United,Palo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/150px-2008-1115-006-USC-Stanford-PAN.jpg,Text esta vazio
211,Stade,"50,186",Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/150px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille
212,Stade,"50,122",Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/150px-Stade_Roi_Baudouin.JPG,Belgium
213,Shaanxi,"50,100",East,China,"Xi'an,",NO_IMAGE,Text esta vazio
214,Ajinomoto,"50,100",East,Japan,"Chofu,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/150px-Ajinomoto_Stadium_2018-13.jpg,FC
215,Estádio,"50,095",Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/150px-Alvalade0023.jpg,Sporting
216,Estádio,"50,033",Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/150px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC
217,Casa,"50,025",South,Brazil,"Salvador,",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/150px-Arena_Fonte_Nova_External_View.jpg,EC
218,Stade,"50,000",Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/150px-Stade_olympique_de_Sousse.jpg,Étoile
219,RheinEnergieSTADION,"50,000",Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/150px-FIFA_WM06_Stadion_Koeln.jpg,1.
220,Harbin,"50,000",East,China,"Harbin,",NO_IMAGE,Text esta vazio
