rank,stadium,capacity,region,country,city,images,home_team
364,Stadium,"40,000",Southeast,Malaysia,Batu,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/150px-Batu_Kawan_Stadium%2CPenang.jpg,Penang
365,Accra,"40,000",Africa,Ghana,Accra,NO_IMAGE,Accra
366,Sarawak,"40,000",Southeast,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/150px-Stadium_Sarawak.JPG,Sarawak
367,Bogyoke,"40,000",Southeast,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/150px-Aungsan_Stadium.jpg,Yangon
368,Resonac,"40,000",East,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/150px-%C5%8Cita_Stadium_2023-03.jpg,Ōita
369,Stadium,"40,000",Southeast,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/150px-Stadium_Pahang.jpg,Pahang
370,Khalifa,"40,000",West,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/150px-Khalifa_International_Stadium.jpg,Qatar
371,Stade,"40,000",Africa,Gabon,Libreville,NO_IMAGE,Gabon
372,Peoples,"40,000",South,Pakistan,Karachi,NO_IMAGE,Pakistan
373,JRD,"40,000",South,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/150px-J.R.D._Tata_Stadium.jpg,Jamshedpur
374,Bao'an,"40,000",East,China,"Shenzhen,",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/150px-Bao%27an_Stadium.jpg,Text esta vazio
375,Kunming,"40,000",East,China,"Kunming,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/150px-Kunming_07.JPG,China
376,Taizhou,"40,000",East,China,"Taizhou,",NO_IMAGE,Text esta vazio
377,Wuhu,"40,000",East,China,"Wuhu,",NO_IMAGE,Text esta vazio
378,Huizhou,"40,000",East,China,"Huizhou,",NO_IMAGE,Text esta vazio
